Month,"Measure of core inflation based on a factor model, CPI-common"
Jan-15,1.8
Feb-15,1.6
Mar-15,1.6
Apr-15,1.7
May-15,1.8
Jun-15,1.8
Jul-15,1.9
Aug-15,1.9
Sep-15,1.9
Oct-15,2
Nov-15,2
Dec-15,1.9
Jan-16,2
Feb-16,1.9
Mar-16,1.9
Apr-16,1.9
May-16,1.8
Jun-16,1.7
Jul-16,1.7
Aug-16,1.6
Sep-16,1.4
Oct-16,1.3
Nov-16,1.1
Dec-16,1.3
Jan-17,1.1
Feb-17,1.2
Mar-17,1.1
Apr-17,1
May-17,0.9
Jun-17,1
Jul-17,1.2
Aug-17,1.2
Sep-17,1.3
Oct-17,1.3
Nov-17,1.4
Dec-17,1.6
Jan-18,1.6
Feb-18,1.8
Mar-18,1.8
Apr-18,1.8
May-18,1.8
Jun-18,1.8
Jul-18,2
Aug-18,2
Sep-18,1.8
Oct-18,1.9
Nov-18,1.8
Dec-18,1.8
Jan-19,1.8
Feb-19,1.9
Mar-19,2
Apr-19,2
May-19,2.2
Jun-19,2.1
Jul-19,2.2
Aug-19,2.1
Sep-19,2.4
Oct-19,2.4
Nov-19,2.5
Dec-19,2.4
Jan-20,2.3
Feb-20,2
Mar-20,1.7
Apr-20,1.6
May-20,1.3
Jun-20,1.4
Jul-20,1.2
Aug-20,1.3
Sep-20,1.3
Oct-20,1.5
Nov-20,1.6
Dec-20,1.5
Jan-21,1.5
Feb-21,1.5
Mar-21,2
Apr-21,2.2
May-21,2.7
Jun-21,2.7
Jul-21,2.9
Aug-21,3.2
Sep-21,3.4
Oct-21,3.3
Nov-21,3.4
Dec-21,3.5
Jan-22,4
Feb-22,4.4
Mar-22,5
Apr-22,5.4
May-22,6.1
Jun-22,6.2
Jul-22,6.6
Aug-22,6.4
Sep-22,6.4
Oct-22,6.4
Nov-22,6.7
Dec-22,6.5
Jan-23,6.6
Feb-23,6.3
Mar-23,6
Apr-23,5.7
