Commodity,2018,2019,2020,2021,2022
Wheat flour,58.07,60.15,59.9,58.07,59.21
Rye flour,0.17,0.21,0.17,0.16,0.15
Oatmeal and rolled oats,4.09,4.74,1.78,0.76,1.6
Pot and pearl barley,0.51,0.47,0.49,0.25,0.19
Corn flour and meal,0.7,0.55,0.99,1.36,1.32
Breakfast food,4.84,4.65,4.94,4.57,4.41
Sugar refined,30.03,30.05,30.72,29.32,30.57
"Sugar refined, sugar content",30.03,30.05,30.72,29.32,30.57
Maple sugar,0.4,0.39,0.52,0.47,0.42
"Maple sugar, sugar content",0.35,0.34,0.46,0.41,0.37
Honey,0.85,0.95,0.98,1.12,0.9
"Honey, sugar content",0.67,0.74,0.77,0.87,0.7
Baked and canned beans,0.97,0.95,0.94,0.93,0.87
Peanuts,3.28,3.32,3.5,3.32,3.31
Tree nuts,2.03,1.94,1.93,1.99,1.79
Tea,66.4,71.44,81.01,85.2,94.87
"Tea, leaf equivalent",0.85,0.91,1.03,1.09,1.21
Coffee,108.54,107.62,105.09,109.3,111.76
"Coffee, green bean equivalent",5.07,5.04,4.92,5.11,5.2
"Cocoa, green bean equivalent",1.02,1.23,1.41,1.49,1.43
"Ale, beer, stout and porter, total population 3 4",59.76,58.75,57.12,55.47,52.95
"Ale, beer, stout and porter, population 15 years old and over 3 4",71.23,69.92,67.91,65.84,62.73
"Distilled spirits, total population 3 4 5",4.64,4.64,4.77,5.01,4.97
"Distilled spirits, population 15 years old and over 3 4 5",5.53,5.52,5.67,5.95,5.89
"Wines, total population 3 4 6",14.01,13.46,13.86,14.06,13.26
"Wines, population 15 years old and over 3 4 6",16.69,16.01,16.47,16.69,15.71
"Ciders, coolers and other refreshment beverages, total population 3 4 7",4.88,5.45,6.23,8.64,9.5
"Ciders, cooler and other refreshment beverages, population 15 years old and over 3 4 7",5.81,6.49,7.41,10.26,11.26
Soft drinks,58.3,56.02,52.78,51.34,48.7
Cheddar cheese,4.17,3.63,3.69,3.77,3.61
"Cheddar cheese, milk solids",2.63,2.29,2.32,2.38,2.28
Processed cheese,1.87,1.77,1.9,1.92,1.97
"Processed cheese, milk solids",1.14,1.08,1.16,1.17,1.2
Variety cheese,8.11,8.54,8.7,8.75,8.65
"Variety cheese, milk solids",4.05,4.27,4.35,4.38,4.33
Cottage cheese,0.63,0.62,0.63,0.6,0.57
"Cottage cheese, milk solids",0.14,0.14,0.14,0.13,0.12
Powder skim milk,0.62,0.46,0.61,1.03,0.7
"Powder skim milk, milk solids",0.6,0.44,0.59,0.99,0.67
Powder buttermilk,0.48,0.49,0.47,0.41,0.39
"Powder buttermilk, milk solids",0.47,0.47,0.46,0.4,0.38
Powder whey,0.37,0.28,0.25,0.22,0.13
"Powder whey, milk solids",0.36,0.27,0.24,0.21,0.13
Other whole milk products,0.3,0.36,0.39,0.4,0.4
"Other whole milk products, milk solids",0.29,0.35,0.38,0.39,0.39
Concentrated whole milk,0.55,0.57,0.56,0.57,0.52
"Concentrated whole milk, milk solids",0.15,0.16,0.15,0.16,0.14
Sweetened concentrated skim milk,0.06,0.04,0.02,0.02,0.01
"Sweetened concentrated skim milk, milk solids",0.02,0.01,0.01,0.01,0.0
Milkshake,0.18,0.08,0.07,0.07,0.07
"Milkshake, milk solids",0.06,0.03,0.02,0.02,0.02
Ice cream,4.02,4.21,5.45,4.88,4.51
"Ice cream, milk solids",0.48,0.51,0.66,0.59,0.54
Ice milk,1.69,1.66,1.68,1.72,1.68
"Ice milk, milk solids",0.15,0.14,0.15,0.15,0.15
