Year,Category,Average expenditure per household
2015,Food expenditures 7,"8,629"
2015,Food purchased from stores,"6,126"
2015,Bakery products,574
2015,Bread and unsweetened rolls and buns,256
2015,Bread,184
2015,Unsweetened rolls and buns,71
2015,Cookies and crackers,126
2015,Cookies and sweet biscuits,77
2015,Crackers and crisp breads,49
2015,Other bakery products,192
2015,Other bakery products (except frozen),175
2015,Ready-to-bake bakery products (except frozen),6
2015,Ready-to-eat pastry (except frozen),144
2015,All other bakery products (except frozen),25
2015,Frozen bakery products,17
2015,"Dessert pies, cakes, squares and other pastries - prepared and frozen",4
2015,Other frozen bakery products,13
2015,Cereal grains and cereal products,341
2015,Rice and rice mixes,40
2015,Rice,36
2015,Rice mixes,4
2015,Pasta products,53
2015,Pasta (fresh or dry),39
2015,Pasta (canned),4
2015,Pasta mixes,11
2015,Other cereal grains and cereal products,248
2015,Flour and flour-based mixes,23
2015,Flour,16
2015,Cake and other flour-based mixes,7
2015,Breakfast cereal and other grain products (except infant),225
2015,Breakfast cereal (except infant cereals),103
2015,Cereal bars,47
2015,Cereal-based snack food,61
2015,Other cereal grains (unmilled or milled),13
2015,"Fruit, fruit preparations and nuts",755
2015,Fresh fruit,473
2015,Apples (fresh),70
2015,Bananas and plantains (fresh),57
2015,Grapes (fresh),52
2015,Peaches and nectarines (fresh),15
2015,Peaches (fresh),10
2015,Nectarines (fresh),5
2015,Pears (fresh),18
2015,Berries (fresh),105
2015,Strawberries (fresh),39
2015,Other berries (fresh),66
2015,Citrus fruit (fresh),81
2015,Other fruit (fresh),74
2015,Preserved fruit and fruit preparations,187
2015,Fruit juice,93
2015,Ready-to-drink citrus juice,40
2015,Other ready-to-drink fruit juices,51
2015,Ready-to-drink apple juice,16
2015,All other ready-to-drink fruit juices,35
2015,Concentrated fruit juice (frozen),2
2015,Other preserved fruit and fruit preparations,94
2015,Preserved fruit (including canned fruit pie filling and frozen fruit),37
2015,Canned or bottled fruit,18
2015,Fruit pie filling,1
2015,Frozen fruit,19
2015,Dried or other preserved fruit,22
2015,Raisins,5
2015,Other dried or preserved fruit,17
2015,"Jams, jellies, marmalades and similar preserves",14
2015,"Fruit drinks (canned, bottled or frozen)",20
2015,Nuts and seeds,96
2015,Peanuts (shelled or unshelled),11
2015,Other nuts and seeds,84
2015,Vegetables and vegetable preparations,710
2015,Fresh vegetables,537
2015,Potatoes (except sweet potatoes),43
2015,Tomatoes (fresh),60
2015,Lettuce (fresh),41
2015,Cabbage (fresh),16
2015,Carrots (fresh),27
2015,Onions (fresh),39
2015,Celery (fresh),13
2015,Cucumber (fresh),28
2015,Mushrooms (fresh),27
2015,Broccoli (fresh),21
2015,Peppers (fresh),45
2015,Other vegetables (fresh),176
2015,Cauliflower (fresh),12
2015,Seaweed,2
2015,Corn (fresh),10
